,0
Start,2020-01-01 00:00:00
End,2024-12-31 00:00:00
Duration,1826 days 00:00:00
Exposure Time [%],11.308562197092083
Equity Final [$],148613.6960747597
Equity Peak [$],150869.34847954486
Return [%],48.6136960747597
Buy & Hold Return [%],303.7668669832276
Return (Ann.) [%],8.398503043452488
Volatility (Ann.) [%],12.650192302003143
Sharpe Ratio,0.663903191584099
Sortino Ratio,1.2676943923004116
Calmar Ratio,0.7758842231991006
Max. Drawdown [%],-10.824428171543499
Avg. Drawdown [%],-5.4072481029389134
Max. Drawdown Duration,633 days 00:00:00
Avg. Drawdown Duration,133 days 00:00:00
# Trades,19
Win Rate [%],57.89473684210527
Best Trade [%],16.19137114125828
Worst Trade [%],-10.829556312805666
Avg. Trade [%],2.1107703424599666
Max. Trade Duration,38 days 00:00:00
Avg. Trade Duration,10 days 00:00:00
Profit Factor,2.4548653420467867
Expectancy [%],2.2983313546531075
SQN,1.5224451189537018
_strategy,TrendFollow
_equity_curve,"                   Equity  DrawdownPct DrawdownDuration
2020-01-01  100000.000000     0.000000              NaT
2020-01-02  100000.000000     0.000000              NaT
2020-01-03  100000.000000     0.000000              NaT
2020-01-06  100000.000000     0.000000              NaT
2020-01-07  100000.000000     0.000000              NaT
...                   ...          ...              ...
2024-12-24  148131.055694     0.018150              NaT
2024-12-26  147205.153289     0.024287              NaT
2024-12-27  145294.250884     0.036953              NaT
2024-12-30  148613.696075     0.014951              NaT
2024-12-31  148613.696075     0.014951           8 days

[1238 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar   EntryPrice   ExitPrice           PnL  ReturnPct  \
0   1168        87      102    85.590191   99.448416  16186.407311   0.161914   
1  -1259       112      114    92.240976  102.230265 -12576.514205  -0.108296   
2    742       163      167   139.513518  149.344635   7294.688252   0.070467   
3    595       253      257   186.316762  205.546628  11441.770432   0.103211   
4   -402       305      329   303.948903  306.992885  -1223.681028  -0.010015   
5   -387       378      390   312.230717  288.003835   9375.803287   0.077593   
6    287       563      567   453.991485  437.074159  -4855.272619  -0.037264   
7   -319       690      702   393.759870  405.481060  -3739.059624  -0.029767   
8    294       754      760   414.009583  403.990318  -2945.663977  -0.024201   
9    237       831      835   499.898522  521.244874   5059.085601   0.042701   
10   226       851      852   547.149871  567.808895   4668.939455   0.037758   
11   220       862      863   582.501295  564.890554  -3874.363013  -0.030233   
12   208       873      874   597.488245  624.096198   5534.454295   0.044533   
13   178       983      985   732.106625  713.522034  -3308.057156  -0.025385   
14   168       991      991   754.182637  785.402556   5244.946426   0.041396   
15   153      1012     1015   864.263387  931.126592  10230.070447   0.077364   
16   141      1056     1063  1010.504841  975.143566  -4985.939808  -0.034994   
17  -148      1178     1191   928.140000  865.428558   9281.293407   0.067567   
18  -197      1231     1237   742.811388  733.650024   1804.788590   0.012333   

    EntryTime   ExitTime Duration  
0  2020-05-12 2020-06-03  22 days  
1  2020-06-17 2020-06-19   2 days  
2  2020-08-27 2020-09-02   6 days  
3  2021-01-05 2021-01-11   6 days  
4  2021-03-22 2021-04-29  38 days  
5  2021-07-08 2021-07-27  19 days  
6  2022-04-06 2022-04-12   6 days  
7  2022-10-11 2022-10-28  17 days  
8  2023-01-11 2023-01-19   8 days  
9  2023-05-09 2023-05-15   6 days  
10 2023-06-06 2023-06-07   1 days  
11 2023-06-21 2023-06-22   1 days  
12 2023-07-07 2023-07-10   3 days  
13 2023-12-18 2023-12-20   2 days  
14 2023-12-29 2023-12-29   0 days  
15 2024-01-31 2024-02-05   5 days  
16 2024-04-05 2024-04-18  13 days  
17 2024-10-04 2024-10-23  19 days  
18 2024-12-20 2024-12-31  11 days  "
